id,name,gtin,category,brand,rating
177468,"Nestle Drumstick Cone Variety Pack, Frozen 16 ct.",7255411096,1525,Nestle,4.71
prod21422506,"Member's Mark Farm Raised Jumbo Raw Shrimp, Frozen, 21-25 ct. per pound, 2 lbs.",19396800697,1515,Member's Mark,4.7301
P990328661,"Member's Mark Breaded Mozzarella Sticks, Frozen, 72 ct.",19396835184,1517,Member's Mark,4.4049
prod18260042,"Stouffer's Signature Lasagna with Meat Sauce, Frozen 96 oz.",1380058189,1516,Stouffer's,4.5188
prod25170409,Jimmy Dean Fully Cooked Original Pork Sausage Links 36 ct.,7790000122,1515,Jimmy Dean,4.6398
prod1180440,Jimmy Dean Fully Cooked Turkey Sausage Patties 24 ct.,7790019262,1515,Jimmy Dean,4.4761
prod22160504,"Member's Mark Mixed Vegetables  6 ct., 12 oz. bags",7874228535,1521,Member's Mark,4.7756
prod22101988,Member's Mark Broccoli Normandy 4 lbs.,7874228533,1521,Member's Mark,4.7582
prod23120260,"Member's Mark Southern Style Waffle Fries, Frozen, 4 lbs.",19396800964,1517,Member's Mark,4.5798
prod24790270,"Member's Mark Triple Berry Blend, Frozen, 64 oz.",19396807521,1521,Member's Mark,4.7325
prod22014921,"Smucker's Uncrustables Peanut Butter and Strawberry Jam Sandwiches, Frozen, 18 ct.",5150082614,1516,Smucker's,4.8504
P990323229,"Member's Mark Grilled Chicken Bites, Frozen, 3 lbs.",19396835202,1515,Member's Mark,4.3142
P03001027,"Tyson Bone-In Buffalo Style Hot Chicken Wings, Frozen, 4 lbs.",2370005648,1515,Tyson,4.3172
prod22980116,"Minh Pork Egg Rolls, Frozen 16 ct.",7218077014,1517,Minh,4.7213
P03021748,"Cole's Garlic Texas Toast, Frozen 32 ct.",7105200846,1519,Cole's,4.6315
P03000991,"Member's Mark Bone In Chicken Wings, Frozen, 10 lbs.",19396814813,1515,Member's Mark,4.5143
P03000508,"Red Baron Pepperoni Pizza with Classic Crust, Frozen 3 pk.",7218076068,1519,Red Baron,4.5449
prod18260043,"Member's Mark Mesquite Grilled Chicken Fillets, Frozen, 3 lbs.",7874211160,1515,Member's Mark,4.5951
P990333265,"Aqua Star Wild Southern King Crab Legs and Claws, Frozen, 2 lbs.",73114911621,3060101,Aqua Star,4.0361
P03017688,"Barber Foods Stuffed Cordon Bleu Chicken Breast, Frozen, 6 ct.",3160200012,1516,Barber Foods,4.6918
P03000992,"Member's Mark Boneless and Skinless Chicken Breast Tenderloins, Frozen, 6 lbs.",19396814812,1515,Member's Mark,4.6986
prod20294540,"Member's Mark 85/15 Ground Sirloin Beef Patties, Frozen, 1/3 lb., 18 ct.",7874211340,1515,Member's Mark,4.6919
P990323366,"Jimmy Dean Sweet Maple Griddle Cake Breakfast Sandwich, Frozen, 12 ct.",7790000267,1483,Jimmy Dean,4.7064
P03017711,"Gorton's Golden Crispy Panko Fish Fillets, Frozen, 28 ct.",4440010520,1515,"Gorton's, Inc.",4.6246
PL984150787,"Member's Mark Chicken Potstickers with Vegetables, 48 oz.",19396828667,1516,Member's Mark,4.5319
